gene	uniprot_chig_id	annot_rank	ko_id	kegg_hit	pfam_hits	chig_description	identified_in_proteomics	unique_onetenth	in_model	detected_in_mplex	ko_all	ec_ko_source	ec_number	ec_source
gene_11280	tr|A0A1B7XSY3|A0A1B7XSY3_COLHI	C	K01537	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	E1-E2 ATPase [PF00122.23]; Cation transporting ATPase, C-terminus [PF00689.24]; haloacid dehalogenase-like hydrolase [PF00702.29]; Cation transport ATPase (P-type) [PF13246.9]	Calcium-transporting ATPase	YES	False	True	True	K01537	kofam+xlsx	7.2.2.10	kofam/xlsx->KEGG
gene_2594	tr|A0A1B7YUN2|A0A1B7YUN2_COLHI	C	K01537	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	COG4 transport protein [PF08318.15]; Telomere recombination [PF01300.21]; Cation transporting ATPase, C-terminus [PF00689.24]; E1-E2 ATPase [PF00122.23]; haloacid dehalogenase-like hydrolase [PF00702.29]; Threonylcarbamoyl-AMP synthase, C-terminal domain [PF03481.16]; Cation transporter/ATPase, N-terminus [PF00690.29]; Cation transport ATPase (P-type) [PF13246.9]	Conserved oligomeric Golgi complex subunit 4	YES	False	True	True	K01537;K07566;K20291	kofam+xlsx	2.7.7.87;7.2.2.10	kofam/xlsx->KEGG
gene_9149	tr|A0A1B7Y2T6|A0A1B7Y2T6_COLHI	C	K01537	P-type Ca2+ transporter type 2C [EC:7.2.2.10]	E1-E2 ATPase [PF00122.23]; Cation transporting ATPase, C-terminus [PF00689.24]; haloacid dehalogenase-like hydrolase [PF00702.29]; Cation transport ATPase (P-type) [PF13246.9]	Calcium-transporting ATPase	YES	False	True	True	K01537	kofam+xlsx	7.2.2.10	kofam/xlsx->KEGG
gene_6595	tr|A0A1B7YDZ8|A0A1B7YDZ8_COLHI	C	K17686	P-type Cu+ transporter [EC:7.2.2.8]	E1-E2 ATPase [PF00122.23]; haloacid dehalogenase-like hydrolase [PF00702.29]; Heavy-metal-associated domain [PF00403.29]	P-type Cu(+) transporter	YES	False	True	True	K17686	kofam+xlsx	7.2.2.8	kofam/xlsx->KEGG
gene_7206	tr|H1VWL2|H1VWL2_COLHI	C	K01536	P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]	E1-E2 ATPase [PF00122.23]; Cation transporting ATPase, C-terminus [PF00689.24]; haloacid dehalogenase-like hydrolase [PF00702.29]; Cation transport ATPase (P-type) [PF13246.9]; Cation transporter/ATPase, N-terminus [PF00690.29]	P-type Na(+) transporter	YES	False	True	True	K01536	kofam+xlsx	7.2.2.-;7.2.2.3	kofam/xlsx->KEGG
gene_8263	tr|A0A1B7YH47|A0A1B7YH47_COLHI	C	K01536	P-type Na+/K+ transporter [EC:7.2.2.3 7.2.2.-]	E1-E2 ATPase [PF00122.23]; Cation transporting ATPase, C-terminus [PF00689.24]; haloacid dehalogenase-like hydrolase [PF00702.29]; Cation transport ATPase (P-type) [PF13246.9]; Cation transporter/ATPase, N-terminus [PF00690.29]	P-type Na(+) transporter	YES	False	True	True	K01536	kofam+xlsx	7.2.2.-;7.2.2.3	kofam/xlsx->KEGG
gene_10695	tr|H1UXJ3|H1UXJ3_COLHI	C	K14844	pumilio homology domain family member 6	CPL (NUC119) domain [PF08144.14]	CPL domain-containing protein	YES	False	False	True	K14844	kofam+xlsx		
gene_6298	tr|H1VCK1|H1VCK1_COLHI	C	K17943	pumilio RNA-binding family	Mitochondrial ribosomal subunit S27 [PF08293.14]	Small ribosomal subunit protein mS33	YES	False	False	True	K17411;K17943	kofam+xlsx		
gene_7545	tr|A0A1B7XVM9|A0A1B7XVM9_COLHI	C	K17943	pumilio RNA-binding family		RNA-binding protein	YES	False	False	True	K17943	xlsx		
gene_11651	tr|H1V3L2|H1V3L2_COLHI	C	K00389	putative membrane protein	Domain of unknown function (DUF202) [PF02656.18]	Vacuolar transporter chaperone 1	YES	False	False	True	K00389;K27690	kofam+xlsx		
gene_8176	tr|H1W3A9|H1W3A9_COLHI	C	K00389	putative membrane protein	VTC domain [PF09359.13]; SPX domain [PF03105.22]; Domain of unknown function (DUF202) [PF02656.18]	VTC domain-containing protein	YES	False	False	True	K00389;K27691	kofam+xlsx		
gene_7291	tr|H1V796|H1V796_COLHI	C	K04070	putative pyruvate formate lyase activating enzyme [EC:1.97.1.4]	Ku70/Ku80 N-terminal alpha/beta domain [PF03731.18]; Ku70/Ku80 beta-barrel domain [PF02735.19]; Ku70/Ku80 C-terminal arm [PF03730.17]	Radical SAM superfamily protein	YES	False	False	True	K04070;K10884	kofam+xlsx	1.97.1.4	kofam/xlsx->KEGG
gene_5471	tr|H1V463|H1V463_COLHI	C	K03627	putative transcription factor	Multiprotein bridging factor 1 [PF08523.13]; Helix-turn-helix [PF01381.25]	Multiprotein-bridging factor 1	YES	False	False	True	K03627	kofam+xlsx		
gene_8055	tr|H1VIZ8|H1VIZ8_COLHI	C	K19640	putative two-component system protein, hydrogenase maturation factor HypX/HoxX	Enoyl-CoA hydratase/isomerase [PF00378.23]; Formyl transferase, C-terminal domain [PF02911.21]; Formyl transferase [PF00551.22]	Formyl transferase	YES	False	False	True	K19640	kofam+xlsx		
gene_4076	tr|A0A1B7YXG5|A0A1B7YXG5_COLHI	C	K06215	pyridoxal 5'-phosphate synthase pdxS subunit [EC:4.3.3.6]	SOR/SNZ family [PF01680.20]; Thiazole biosynthesis protein ThiG [PF05690.17]	pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)	YES	False	True	True	K06215	kofam+xlsx	4.3.3.6	kofam/xlsx->KEGG
gene_4566	tr|A0A1B7YWX8|A0A1B7YWX8_COLHI	C	K08681	pyridoxal 5'-phosphate synthase pdxT subunit [EC:4.3.3.6]	SNO glutamine amidotransferase family [PF01174.22]	glutaminase	YES	False	True	True	K08681	kofam+xlsx	4.3.3.6	kofam/xlsx->KEGG
gene_166	tr|A0A1B7YAC6|A0A1B7YAC6_COLHI	C	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	Pyridoxine 5'-phosphate oxidase C-terminal dimerisation region [PF10590.12]; Pyridoxamine 5'-phosphate oxidase [PF01243.23]	pyridoxal 5'-phosphate synthase	YES	False	True	True	K00275	kofam+xlsx	1.4.3.5	kofam/xlsx->KEGG
gene_4629	tr|A0A1B7XRY2|A0A1B7XRY2_COLHI	C	K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]	Pyridoxamine 5'-phosphate oxidase [PF12766.10]	Zn 2cys6 transcription factor	YES	False	False	True	K00275	xlsx	1.4.3.5	kofam/xlsx->KEGG
gene_5250	tr|H1VLR9|H1VLR9_COLHI	C	K05275	pyridoxine 4-dehydrogenase [EC:1.1.1.65]	Aldo/keto reductase family [PF00248.24]	Aldo/keto reductase	YES	False	False	True	K05275	kofam+xlsx	1.1.1.65	kofam/xlsx->KEGG
gene_8846	tr|A0A1B7YTS4|A0A1B7YTS4_COLHI	C	K00868	pyridoxine kinase [EC:2.7.1.35]	Phosphomethylpyrimidine kinase [PF08543.15]	pyridoxal kinase	YES	False	True	True	K00868	kofam+xlsx	2.7.1.35	kofam/xlsx->KEGG
gene_5707	tr|A0A1B7YJT2|A0A1B7YJT2_COLHI	C	K18551	pyrimidine and pyridine-specific 5'-nucleotidase [EC:3.1.3.-]		Pyrimidine 5'-nucleotidase	YES	False	True	True	K18551	kofam+xlsx	3.1.3.-	kofam/xlsx->KEGG
gene_7550	tr|A0A1B7YEG6|A0A1B7YEG6_COLHI	C	K18278	pyrimidine precursor biosynthesis enzyme	NMT1/THI5 like [PF09084.14]; NMT1-like family [PF13379.9]	4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase	YES	False	True	True	K18278	kofam+xlsx		
gene_10824	tr|A0A1B7YV10|A0A1B7YV10_COLHI	C	K01304	pyroglutamyl-peptidase [EC:3.4.19.3]	Pyroglutamyl peptidase [PF01470.20]	Pyroglutamyl peptidase type	YES	False	False	True	K01304;K10801	kofam+xlsx	3.2.2.-;3.4.19.3	kofam/xlsx->KEGG
gene_2557	tr|A0A1B7YHJ8|A0A1B7YHJ8_COLHI	C	K00286	pyrroline-5-carboxylate reductase [EC:1.5.1.2]	Pyrroline-5-carboxylate reductase dimerisation [PF14748.9]; NADP oxidoreductase coenzyme F420-dependent [PF03807.20]	Pyrroline-5-carboxylate reductase	YES	False	False	True	K00286	kofam+xlsx	1.5.1.2	kofam/xlsx->KEGG
gene_12451	tr|A0A1B7XY13|A0A1B7XY13_COLHI	C	K01958	pyruvate carboxylase [EC:6.4.1.1]	Carbamoyl-phosphate synthase L chain, ATP binding domain [PF02786.20]; Conserved carboxylase domain [PF02436.21]; Biotin carboxylase, N-terminal domain [PF00289.25]; Biotin carboxylase C-terminal domain [PF02785.22]; HMGL-like [PF00682.22]; ATP-grasp domain [PF02222.25]; Biotin-requiring enzyme [PF00364.25]; ATP-grasp domain [PF02655.17]; D-ala D-ala ligase C-terminus [PF07478.16]; RimK-like ATP-grasp domain [PF08443.14]	pyruvate carboxylase	YES	False	True	True	K01958	kofam+xlsx	6.4.1.1	kofam/xlsx->KEGG
gene_11837	tr|A0A1B7YIA1|A0A1B7YIA1_COLHI	C	K01568	pyruvate decarboxylase [EC:4.1.1.1]	Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.21]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]; Thiamine pyrophosphate enzyme, central domain [PF00205.25]	Pyruvate decarboxylase	YES	False	True	True	K01568	kofam+xlsx	4.1.1.1	kofam/xlsx->KEGG
gene_7361	tr|H1VYE9|H1VYE9_COLHI	C	K01568	pyruvate decarboxylase [EC:4.1.1.1]	Erv1 / Alr family [PF04777.16]; Thiamine pyrophosphate enzyme, N-terminal TPP binding domain [PF02776.21]; Thiamine pyrophosphate enzyme, central domain [PF00205.25]; Thiamine pyrophosphate enzyme, C-terminal TPP binding domain [PF02775.24]; THUMP domain [PF02926.20]	Pyruvate decarboxylase	YES	False	True	True	K01568;K06963;K17783	kofam+xlsx	1.8.3.2;4.1.1.1	kofam/xlsx->KEGG
gene_3673	tr|H1V1Y7|H1V1Y7_COLHI	C	K00898	pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase [PF10436.12]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]	Protein-serine/threonine kinase	YES	False	False	True	K00898	kofam+xlsx	2.7.11.2	kofam/xlsx->KEGG
gene_9958	tr|A0A1B7YIV3|A0A1B7YIV3_COLHI	C	K00898	pyruvate dehydrogenase kinase 2/3/4 [EC:2.7.11.2]	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase [PF10436.12]; Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase [PF02518.29]	Protein-serine/threonine kinase	YES	False	False	True	K00898	kofam+xlsx	2.7.11.2	kofam/xlsx->KEGG
gene_4726	tr|A0A1B7YGA3|A0A1B7YGA3_COLHI	C	K01102	pyruvate dehydrogenase phosphatase [EC:3.1.3.43]	Protein phosphatase 2C [PF00481.24]	Protein phosphatase 2C	YES	False	False	True	K01102	kofam+xlsx	3.1.3.43	kofam/xlsx->KEGG
gene_9380	tr|H1UXT3|H1UXT3_COLHI	C	K01102	pyruvate dehydrogenase phosphatase [EC:3.1.3.43]	Protein phosphatase 2C [PF00481.24]	Protein phosphatase 2C	YES	False	False	True	K01102	kofam+xlsx	3.1.3.43	kofam/xlsx->KEGG
gene_11925	tr|H1VKZ9|H1VKZ9_COLHI	C	K00873	pyruvate kinase [EC:2.7.1.40]	Pyruvate kinase, barrel domain [PF00224.24]; Pyruvate kinase, alpha/beta domain [PF02887.19]; HpcH/HpaI aldolase/citrate lyase family [PF03328.17]	Pyruvate kinase	YES	False	True	True	K00873	kofam+xlsx	2.7.1.40	kofam/xlsx->KEGG
gene_8234	tr|H1UW07|H1UW07_COLHI	C	K06911	quercetin 2,3-dioxygenase [EC:1.13.11.24]	Pirin [PF02678.19]	Pirin	YES	False	False	True	K06911	kofam+xlsx	1.13.11.24	kofam/xlsx->KEGG
gene_573	tr|H1V4Q7|H1V4Q7_COLHI	C	K00777	queuine tRNA-ribosyltransferase catalytic subunit [EC:2.4.2.64]	Queuine tRNA-ribosyltransferase [PF01702.21]	Queuine tRNA-ribosyltransferase catalytic subunit 1	YES	False	False	True	K00777	kofam+xlsx	2.4.2.64	kofam/xlsx->KEGG
gene_2493	tr|H1V584|H1V584_COLHI	C	K17255	Rab GDP dissociation inhibitor	GDP dissociation inhibitor [PF00996.21]; Mitochondrial 39-S ribosomal protein L47 (MRP-L47) [PF06984.16]	Rab GDP dissociation inhibitor	YES	False	False	True	K17255;K17428	kofam+xlsx		
gene_12875	tr|H1VPN4|H1VPN4_COLHI	C	K23460	Rab proteins geranylgeranyltransferase component A	GDP dissociation inhibitor [PF00996.21]	Rab proteins geranylgeranyltransferase	YES	False	False	True	K23460	kofam+xlsx		
gene_1160	tr|H1VS62|H1VS62_COLHI	C	K20131	Rab5 GDP/GTP exchange factor	Vacuolar sorting protein 9 (VPS9) domain [PF02204.21]; Domain of unknown function (DUF5601) [PF18151.4]	Guanine nucleotide exchange factor vps9	YES	False	False	True	K20131	kofam+xlsx		
gene_55	tr|A0A1B7YQF6|A0A1B7YQF6_COLHI	C	K20131	Rab5 GDP/GTP exchange factor	Vacuolar sorting protein 9 (VPS9) domain [PF02204.21]	Vps9 domain protein	YES	False	False	True	K20131	xlsx		
gene_12952	tr|A0A1B7XZH2|A0A1B7XZH2_COLHI	C	K20476	RAB6A-GEF complex partner protein 1	Casein kinase II regulatory subunit [PF01214.21]; RIC1 [PF07064.16]	Casein kinase II subunit beta	YES	False	False	True	K03115;K20476	kofam+xlsx		
gene_3384	tr|A0A1B7YLZ5|A0A1B7YLZ5_COLHI	C	K12481	rabenosyn-5	Rabenosyn Rab binding domain [PF11464.11]; FYVE zinc finger [PF01363.24]	FYVE zinc finger	YES	False	False	True	K12481	kofam+xlsx		
gene_1923	tr|H1UX08|H1UX08_COLHI	C	K20474	RAD50-interacting protein 1	RINT-1 / TIP-1 family [PF04437.16]	RINT-1 family protein	YES	False	False	True	K20474	kofam+xlsx		
gene_789	tr|A0A1B7YT33|A0A1B7YT33_COLHI	C	K08773	RalA-binding protein 1	RhoGAP domain [PF00620.30]; PH domain [PF00169.32]	RhoGAP domain-containing protein	YES	False	False	False	K08773	kofam+xlsx		
gene_4196	tr|H1UX83|H1UX83_COLHI	C	K14319	Ran GTPase-activating protein 1		Ran GTPase activating protein 1	YES	False	False	True	K14319	kofam+xlsx		
gene_8776	tr|A0A1B7Y673|A0A1B7Y673_COLHI	C	K23334	Ran-binding protein 9/10	CTLH/CRA C-terminal to LisH motif domain [PF10607.12]; SPRY domain [PF00622.31]	SPRY domain-containing protein	YES	False	False	True	K23334	kofam+xlsx		
gene_6295	tr|A0A1B7YMV0|A0A1B7YMV0_COLHI	C	K08267	rapamycin-insensitive companion of mTOR	Rapamycin-insensitive companion of mTOR, N-term [PF14664.9]; Phosphomethylpyrimidine kinase [PF08543.15]; TENA/THI-4/PQQC family [PF03070.19]; Rapamycin-insensitive companion of mTOR, middle domain [PF14666.9]; Rapamycin-insensitive companion of mTOR RasGEF_N domain [PF14663.9]; Rapamycin-insensitive companion of mTOR, domain 5 [PF14668.9]; Hr1 repeat [PF02185.19]	Cytosolic regulator pianissimo	YES	False	True	True	K00877;K00941;K08267	kofam+xlsx	2.7.1.49;2.7.4.7;3.5.99.2	kofam/xlsx->KEGG
gene_1363	tr|A0A1B7YVW7|A0A1B7YVW7_COLHI	C	K05767	Ras GTPase-activating-like protein IQGAP2/3	GTPase-activator protein for Ras-like GTPase [PF00616.22]; RasGAP C-terminus [PF03836.18]	GTPase-activator protein for Ras-like GTPase	YES	False	False	True	K05767	kofam+xlsx		
gene_1197	tr|H1UYX9|H1UYX9_COLHI	C	K07208	Ras homolog enriched in brain	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	GTP-binding protein rhb1	YES	False	False	True	K07208	kofam+xlsx		
gene_3127	tr|A0A1B7XYD9|A0A1B7XYD9_COLHI	C	K04513	Ras homolog gene family, member A	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	GTP-binding protein rho2	YES	False	False	True	K04513;K07975	kofam+xlsx		
gene_9507	tr|H1VK36|H1VK36_COLHI	C	K04513	Ras homolog gene family, member A	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	GTP-binding protein rhoA	YES	False	False	True	K04513;K07975	kofam+xlsx		
gene_2330	tr|A0A1B7Y1D5|A0A1B7Y1D5_COLHI	C	K04392	Ras-related C3 botulinum toxin substrate 1	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	Ras-like protein ced-10	YES	False	False	True	K04392	kofam+xlsx		
gene_11353	tr|H1V7H2|H1V7H2_COLHI	C	K16185	Ras-related GTP-binding protein A/B	Gtr1/RagA G protein conserved region [PF04670.15]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]; Ras family [PF00071.25]	GTP-binding protein	YES	False	True	True	K16185	kofam+xlsx		
gene_11411	tr|A0A1B7YQ34|A0A1B7YQ34_COLHI	C	K16186	Ras-related GTP-binding protein C/D	Gtr1/RagA G protein conserved region [PF04670.15]; ADP-ribosylation factor family [PF00025.24]	GTP-binding protein	YES	False	False	True	K16186;K17776	kofam+xlsx		
gene_4804	tr|H1V2E7|H1V2E7_COLHI	C	K07904	Ras-related protein Rab-11A	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	Ras-like protein Rab-11B	YES	False	False	True	K07904	kofam+xlsx		
gene_3900	tr|H1VA54|H1VA54_COLHI	C	K07889	Ras-related protein Rab-5C	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	Ras family protein	YES	False	False	True	K07889	xlsx		
gene_9790	tr|A0A1B7YD42|A0A1B7YD42_COLHI	C	K07889	Ras-related protein Rab-5C	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]	Ras family protein	YES	False	False	True	K07889	xlsx		
gene_6869	tr|A0A1B7YJK7|A0A1B7YJK7_COLHI	C	K07897	Ras-related protein Rab-7A	Ras family [PF00071.25]; Ras of Complex, Roc, domain of DAPkinase [PF08477.16]; ADP-ribosylation factor family [PF00025.24]; Scramblase [PF03803.18]; Gtr1/RagA G protein conserved region [PF04670.15]	Ras family protein	YES	False	False	True	K07897	kofam+xlsx	3.6.5.2	kofam/xlsx->KEGG
gene_878	tr|A0A1B7YJD8|A0A1B7YJD8_COLHI	C	K17279	receptor expression-enhancing protein 5/6	TB2/DP1, HVA22 family [PF03134.22]	Protein YOP1	YES	False	False	True	K17279	kofam+xlsx		
gene_11772	tr|A0A1B7YJ56|A0A1B7YJ56_COLHI	C	K15071	recyclin-1	Exocyst complex component Sec10 [PF07393.14]; SNF2-related domain [PF00176.26]; Zinc finger, C3HC4 type (RING finger) [PF13923.9]; Prokaryotic RING finger family 4 [PF14447.9]; Ring finger domain [PF13639.9]; RING-H2 zinc finger domain [PF12678.10]; zinc finger of C3HC4-type, RING [PF15227.9]; Zinc finger, C3HC4 type (RING finger) [PF00097.28]	Exocyst complex component Sec10	YES	False	False	False	K15071;K15710	kofam+xlsx	2.3.2.27;5.6.2.-	kofam/xlsx->KEGG
gene_5178	tr|H1W0K8|H1W0K8_COLHI	C	K11493	regulator of chromosome condensation	Regulator of chromosome condensation (RCC1) repeat [PF00415.21]	Ran exchange factor Prp20/Pim1	YES	False	False	True	K11493	kofam+xlsx		
gene_4267	tr|A0A1B7Y6C4|A0A1B7Y6C4_COLHI	C	K14326	regulator of nonsense transcripts 1 [EC:3.6.4.13 5.6.2.3]	RNA helicase (UPF2 interacting domain) [PF09416.13]; AAA domain [PF13087.9]; AAA domain [PF13086.9]; RNA helicase UPF1, 1B domain [PF18141.4]; AAA domain [PF13604.9]; AAA domain [PF13245.9]; Type III restriction enzyme, res subunit [PF04851.18]	RNA helicase	YES	False	False	True	K14326	kofam+xlsx	5.6.2.3;5.6.2.5	kofam/xlsx->KEGG
gene_6729	tr|H1UZX7|H1UZX7_COLHI	C	K14327	regulator of nonsense transcripts 2	Up-frameshift suppressor 2 [PF04050.17]; MIF4G domain [PF02854.22]	MIF4G domain-containing protein	YES	False	False	True	K14327	kofam+xlsx		
gene_9728	tr|H1VTI4|H1VTI4_COLHI	C	K14328	regulator of nonsense transcripts 3	Smg-4/UPF3 family [PF03467.18]	Nonsense-mediated mRNA decay protein	YES	False	False	True	K14328	kofam+xlsx		
gene_4826	tr|H1V7F0|H1V7F0_COLHI	C	K14852	regulator of ribosome biosynthesis	Ribosome biogenesis regulatory protein (RRS1) [PF04939.15]	Ribosome biogenesis regulatory protein	YES	False	False	True	K14852	kofam+xlsx		
gene_5852	tr|H1VK78|H1VK78_COLHI	C	K15559	regulator of Ty1 transposition protein 103	CID domain [PF04818.16]	Duf618 domain protein	YES	False	False	True	K15559	kofam+xlsx		
gene_9649	tr|H1V582|H1V582_COLHI	C	K11309	regulator of Ty1 transposition protein 109	Histone acetylation protein [PF08214.14]	histone acetyltransferase	YES	False	False	True	K11309	kofam+xlsx		
gene_7413	tr|A0A1B7YRA0|A0A1B7YRA0_COLHI	C	K08502	regulator of vacuolar morphogenesis	PX domain [PF00787.27]	PX domain-containing protein	YES	False	False	True	K08502	kofam+xlsx		
gene_9337	tr|A0A1B7Y9J2|A0A1B7Y9J2_COLHI	C	K07204	regulatory associated protein of mTOR	Raptor N-terminal CASPase like domain [PF14538.9]; tRNA synthetases class II (D, K and N) [PF00152.23]	WD repeat domain-containing protein mip1	YES	False	True	True	K07204	kofam+xlsx		
gene_6574	tr|H1VEG7|H1VEG7_COLHI	C	K07466	replication factor A1	Replication factor-A C terminal domain [PF08646.13]; Replication protein A OB domain [PF16900.8]; Replication factor-A protein 1, N-terminal domain [PF04057.15]	Replication protein A subunit	YES	False	False	True	K07466	kofam+xlsx		
gene_11306	tr|H1V7F5|H1V7F5_COLHI	C	K10739	replication factor A2	Replication protein A C terminal [PF08784.14]; OB-fold nucleic acid binding domain [PF01336.28]	Replication factor-a protein	YES	False	False	True	K10739	kofam+xlsx		
gene_3891	tr|H1VDY5|H1VDY5_COLHI	C	K10740	replication factor A3	Replication factor A protein 3 [PF08661.14]	Replication factor A protein 3	YES	False	False	True	K10740	xlsx		
gene_10180	tr|H1VIC1|H1VIC1_COLHI	C	K10754	replication factor C subunit 1	Replication factor RFC1 C terminal domain [PF08519.15]; Rad17 P-loop domain [PF03215.18]; BRCA1 C Terminus (BRCT) domain [PF00533.29]; ATPase family associated with various cellular activities (AAA) [PF00004.32]	Replication factor C subunit 1	YES	False	False	True	K10754	kofam+xlsx		
gene_1940	tr|A0A1B7YTX2|A0A1B7YTX2_COLHI	C	K10755	replication factor C subunit 2/4	DNA polymerase III, delta subunit [PF13177.9]; Replication factor C C-terminal domain [PF08542.14]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Rad17 P-loop domain [PF03215.18]; AAA domain [PF13401.9]; ATPase family associated with various cellular activities (AAA) [PF07726.14]	Replication factor C subunit 2	YES	False	False	True	K10755	kofam+xlsx		
gene_3575	tr|H1W5Q9|H1W5Q9_COLHI	C	K10755	replication factor C subunit 2/4	Replication factor C C-terminal domain [PF08542.14]; DNA polymerase III, delta subunit [PF13177.9]; Magnesium chelatase, subunit ChlI [PF01078.24]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Rad17 P-loop domain [PF03215.18]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]	Replication factor C subunit 4	YES	False	False	True	K10755;K14539	kofam+xlsx	3.6.1.-	kofam/xlsx->KEGG
gene_10567	tr|H1V8A0|H1V8A0_COLHI	C	K10756	replication factor C subunit 3/5	DNA polymerase III, delta subunit [PF13177.9]; Rad17 P-loop domain [PF03215.18]; Replication factor C C-terminal domain [PF08542.14]; ATPase family associated with various cellular activities (AAA) [PF00004.32]; Holliday junction DNA helicase RuvB P-loop domain [PF05496.15]; AAA domain (dynein-related subfamily) [PF07728.17]; AAA domain [PF13604.9]; ATPase family associated with various cellular activities (AAA) [PF07726.14]; AAA domain [PF13401.9]	Replication factor C subunit 3	YES	False	False	True	K10756	kofam+xlsx		
gene_8724	tr|H1VIB9|H1VIB9_COLHI	C	K10756	replication factor C subunit 3/5	Ribosomal protein L16p/L10e [PF00252.21]; DNA polymerase III, delta subunit [PF13177.9]; Replication factor C C-terminal domain [PF08542.14]	Replication factor C subunit 5	YES	False	False	True	K10756	kofam+xlsx		
gene_4266	tr|H1UX50|H1UX50_COLHI	C	K25186	replication termination factor 2	Rtf2 RING-finger [PF04641.15]	Duf602 domain-containing protein	YES	False	False	True	K25186	kofam+xlsx		
gene_12578	tr|H1VFP3|H1VFP3_COLHI	C	K23499	required for meiotic nuclear division protein 1	RMND1/Sif2-Sif3/Mrx10, DUF155 [PF02582.17]; Saccharopine dehydrogenase NADP binding domain [PF03435.21]	Sporulation protein rmd1	YES	False	False	True	K23499	kofam+xlsx		
gene_3153	tr|A0A1B7YVD7|A0A1B7YVD7_COLHI	C	K23499	required for meiotic nuclear division protein 1	RMND1/Sif2-Sif3/Mrx10, DUF155 [PF02582.17]	YagE family protein	YES	False	False	True	K23499	kofam+xlsx		
gene_6354	tr|H1UZ59|H1UZ59_COLHI	C	K23499	required for meiotic nuclear division protein 1	RMND1/Sif2-Sif3/Mrx10, DUF155 [PF02582.17]	Sporulation protein rmd8	YES	False	False	True	K23499	kofam+xlsx		
gene_2	tr|A0A1B7YUT5|A0A1B7YUT5_COLHI	C	K11369	retrograde regulation protein 2	Ppx/GppA phosphatase family [PF02541.19]	Ppx/GppA phosphatase	YES	False	False	True	K11369	kofam+xlsx		
gene_5876	tr|A0A1B7XR84|A0A1B7XR84_COLHI	C	K12462	Rho GDP-dissociation inhibitor	RHO protein GDP dissociation inhibitor [PF02115.20]	Rho GDP-dissociation inhibitor	YES	False	False	True	K12462	kofam+xlsx		
gene_12064	tr|A0A1B7Y1E9|A0A1B7Y1E9_COLHI	C	K20643	Rho GTPase-activating protein RGD1	RhoGAP domain [PF00620.30]; Fes/CIP4, and EFC/F-BAR homology domain [PF00611.26]	Beta-chimaerin	YES	False	False	True	K20643	kofam+xlsx		
gene_10185	tr|A0A1B7Y8M3|A0A1B7Y8M3_COLHI	C	K19842	RHO1 GDP-GTP exchange protein 1/2	CNH domain [PF00780.25]; Pleckstrin homology domain [PF15405.9]; RhoGEF domain [PF00621.23]	CNH domain-containing protein	YES	False	False	True	K19842	kofam+xlsx		
gene_2587	tr|H1UV38|H1UV38_COLHI	C	K19842	RHO1 GDP-GTP exchange protein 1/2	CNH domain [PF00780.25]; RhoGEF domain [PF00621.23]; Pleckstrin homology domain [PF15405.9]; Domain found in Dishevelled, Egl-10, and Pleckstrin (DEP) [PF00610.24]	CNH domain-containing protein	YES	False	False	True	K19842	kofam+xlsx		
gene_7913	tr|A0A1B7YUY2|A0A1B7YUY2_COLHI	C	K09650	rhomboid-like protein [EC:3.4.21.105]	Rhomboid family [PF01694.25]	Rhomboid-like protein	YES	False	False	True	K09650	kofam+xlsx	3.4.21.105	kofam/xlsx->KEGG
