gene	ko	ko_source	ec
gene_10958	K01694;K01695;K01696	kofam+xlsx	4.2.1.20
gene_1096	K11996	kofam+xlsx	2.7.7.80;2.8.1.11
gene_10961	K15564	kofam+xlsx	
gene_10962	K03033	kofam+xlsx	
gene_10963	K14708	kofam+xlsx	
gene_10965	K14816	kofam+xlsx	
gene_10968	K10273	kofam+xlsx	
gene_10970	K13100	kofam+xlsx	
gene_10974	K11244	kofam+xlsx	
gene_10979	K05286	kofam+xlsx	2.4.1.-
gene_10980	K15427	kofam+xlsx	3.1.3.16
gene_10981	K17801	kofam+xlsx	
gene_10984	K06641;K15030	kofam+xlsx	2.7.11.1
gene_10985	K05543	kofam+xlsx	1.3.1.91
gene_10986	K01941	kofam+xlsx	6.3.4.26;6.3.4.6
gene_10987	K09043	kofam	
gene_10989	K22836	kofam+xlsx	2.4.1.-
gene_10994	K15565	kofam+xlsx	
gene_10997	K09275	kofam+xlsx	
gene_11	K15109	kofam+xlsx	
gene_11001	K10592	kofam+xlsx	2.3.2.26
gene_11004	K00894	kofam+xlsx	2.7.1.82
gene_11009	K14777	kofam+xlsx	5.6.2.7
gene_1101	K14686	kofam+xlsx	
gene_11010	K08254	kofam+xlsx	3.2.1.59
gene_11013	K02934	kofam+xlsx	
gene_11018	K19069	kofam+xlsx	1.1.99.18
gene_11019	K01101	kofam+xlsx	3.1.3.41
gene_11025	K22741	xlsx	2.1.1.-
gene_11028	K22377	kofam+xlsx	2.3.2.27
gene_11029	K01078	kofam+xlsx	3.1.3.2
gene_1103	K12811	kofam+xlsx	5.6.2.7
gene_11032	K14294	kofam+xlsx	
gene_11037	K08174	xlsx	
gene_11038	K18587	kofam+xlsx	
gene_11041	K02922	kofam+xlsx	
gene_11042	K08141	kofam+xlsx	
gene_11043	K16261	kofam+xlsx	
gene_11045	K00162;K12599	kofam+xlsx	1.2.4.1;5.6.2.6
gene_11046	K14833	kofam+xlsx	
gene_11047	K01649	kofam+xlsx	2.3.3.13
gene_11057	K17741	xlsx	1.1.1.283
gene_1106	K20520	kofam+xlsx	
gene_11061	K01501	kofam	3.5.5.1
gene_11063	K11344	kofam+xlsx	
gene_11064	K13076	kofam+xlsx	1.14.19.18
gene_11066	K14654	kofam+xlsx	1.1.1.302
gene_11070	K11699	kofam+xlsx	2.7.7.48
gene_11071	K28511	kofam	
gene_11074	K09562	kofam+xlsx	
gene_11076	K17608	kofam+xlsx	
gene_11086	K15323	kofam+xlsx	4.6.1.16
gene_11087	K00276	kofam+xlsx	1.4.3.21
gene_11088	K01225	kofam+xlsx	3.2.1.91
gene_11089	K02909	xlsx	
gene_11091	K28512	kofam	
gene_11093	K00698	kofam+xlsx	2.4.1.16
gene_11097	K08987	kofam+xlsx	
gene_111	K05283	kofam+xlsx	2.3.-.-
gene_11101	K09184	kofam+xlsx	
gene_11109	K02136	kofam	
gene_1111	K13690	kofam+xlsx	2.4.1.-
gene_11110	K01669	kofam+xlsx	4.1.99.3
gene_11111	K11886	kofam+xlsx	
gene_11114	K01183	kofam+xlsx	3.2.1.14
gene_11115	K21546	kofam	
gene_11119	K10704;K26392	kofam+xlsx	
gene_1112	K14765	kofam+xlsx	
gene_11120	K12767	kofam+xlsx	2.7.11.36
gene_11121	K14763	kofam+xlsx	
gene_11123	K15078	kofam+xlsx	3.6.1.-
gene_11124	K17743	kofam+xlsx	1.1.1.307;1.1.1.430;1.1.1.431
gene_11125	K00864	kofam+xlsx	2.7.1.30
gene_11126	K20238	kofam+xlsx	2.1.1.317
gene_11133	K02150	kofam+xlsx	
gene_11141	K23362	kofam	3.1.-.-
gene_11144	K06004	xlsx	3.4.23.18
gene_11152	K01648	kofam+xlsx	2.3.3.8
gene_11153	K15292	xlsx	
gene_11154	K01174	xlsx	3.1.31.1
gene_11156	K08711	kofam+xlsx	
gene_11157	K13974;K19932	kofam+xlsx	
gene_11159	K01466	kofam+xlsx	3.5.2.5
gene_11161	K01953	kofam+xlsx	6.3.5.4
gene_11162	K10438	kofam+xlsx	1.14.13.63
gene_11165	K03189	kofam+xlsx	
gene_11168	K02805	kofam+xlsx	2.6.1.59
gene_1117	K14832	kofam+xlsx	
gene_11173	K06648	kofam+xlsx	
gene_11177	K02219	kofam+xlsx	
gene_11178	K02266	kofam+xlsx	
gene_11179	K17775	kofam+xlsx	
gene_11180	K19356	kofam+xlsx	1.14.99.54
gene_11182	K00053	kofam+xlsx	1.1.1.86
gene_11189	K17786	kofam+xlsx	
gene_11191	K00485	kofam+xlsx	1.14.13.8;1.8.1.-
gene_11192	K00318	kofam+xlsx	1.5.5.2
gene_11194	K15205	kofam+xlsx	
gene_11195	K28214	kofam	5.4.99.9
gene_112	K02727	kofam+xlsx	3.4.25.1
gene_11200	K03781	kofam+xlsx	1.11.1.6
gene_11202	K05289	kofam+xlsx	
gene_11205	K28206	kofam	
gene_11209	K14820	kofam+xlsx	
gene_11212	K03847	kofam+xlsx	2.4.1.260
gene_11213	K04713	kofam+xlsx	1.14.18.5
gene_11214	K12881	kofam+xlsx	
gene_1122	K01176	kofam+xlsx	3.2.1.1
gene_11224	K02888	kofam+xlsx	
gene_11226	K13119	kofam+xlsx	
gene_11230	K14769	kofam+xlsx	
gene_11231	K19356	kofam+xlsx	1.14.99.54
gene_11233	K17790	kofam+xlsx	
gene_11239	K01874;K17989	kofam+xlsx	4.3.1.17;4.3.1.19;6.1.1.10
gene_11240	K26405	kofam	
gene_11242	K22733	kofam+xlsx	
gene_11244	K03126	kofam+xlsx	
gene_11246	K15505	kofam+xlsx	5.6.2.-
gene_11248	K01530	xlsx	7.6.2.1
gene_11249	K19356	kofam+xlsx	1.14.99.54
gene_11254	K28507	kofam	
gene_11255	K14455	kofam+xlsx	2.6.1.1
gene_11256	K08139	kofam+xlsx	
gene_11258	K15443	kofam+xlsx	
gene_11259	K10259	kofam+xlsx	
gene_1126	K23543	kofam+xlsx	
gene_11266	K07513	kofam+xlsx	2.3.1.16
gene_1127	K12736	kofam+xlsx	5.2.1.8
gene_11270	K15918	kofam+xlsx	2.7.1.31
gene_11275	K01190	kofam+xlsx	3.2.1.23
gene_11276	K19800	kofam+xlsx	2.7.11.1
gene_11277	K08744;K21631	kofam+xlsx	2.7.8.41
gene_11280	K01537	kofam+xlsx	7.2.2.10
gene_11284	K07870	kofam+xlsx	3.6.5.-
gene_11285	K08192	kofam	
gene_11286	K15108	kofam+xlsx	
gene_11289	K17103	kofam+xlsx	2.7.8.8
gene_11290	K11204	kofam+xlsx	6.3.2.2
gene_11297	K15077	kofam+xlsx	
gene_11298	K02926	kofam+xlsx	
gene_11299	K05012	kofam+xlsx	
gene_11306	K10739	kofam+xlsx	
gene_11309	K03327	kofam+xlsx	
gene_11313	K22278	kofam+xlsx	3.5.1.104
gene_11318	K00963	kofam+xlsx	2.7.7.9
gene_11319	K01051	kofam+xlsx	3.1.1.11
gene_1132	K03028	kofam+xlsx	
gene_11320	K02991	kofam+xlsx	
gene_11322	K11566	kofam+xlsx	
gene_11323	K08141	kofam+xlsx	
gene_11328	K00134	kofam+xlsx	1.2.1.12
gene_11329	K08495	kofam+xlsx	
gene_1133	K01784	kofam+xlsx	5.1.3.2
gene_11332	K03448;K08192	kofam+xlsx	
gene_11333	K08726	xlsx	3.1.3.76;3.3.2.10
gene_11334	K08192	kofam	
gene_11338	K17417	kofam+xlsx	
gene_11343	K15921	xlsx	3.2.1.55
gene_11345	K03320	kofam+xlsx	
gene_1135	K02954	kofam+xlsx	
gene_11350	K01772;K11269	kofam+xlsx	4.98.1.1;4.99.1.9
gene_11353	K16185	kofam+xlsx	
gene_11358	K00031	kofam+xlsx	1.1.1.42
gene_11370	K00058	kofam+xlsx	1.1.1.399;1.1.1.95
gene_11375	K02143	kofam+xlsx	
gene_11378	K17983	kofam+xlsx	
gene_1138	K02355	kofam+xlsx	
gene_11380	K02510	kofam+xlsx	4.1.2.52
gene_11382	K21545	kofam+xlsx	
gene_11385	K07512	kofam+xlsx	1.3.1.-;1.3.1.38
gene_11391	K03139;K22911	kofam+xlsx	3.1.3.100;3.5.99.-;5.6.2.-
gene_11392	K18725	kofam+xlsx	
gene_11393	K14781	kofam+xlsx	5.6.2.6
gene_11394	K01953	kofam+xlsx	6.3.5.4
gene_11400	K11866	xlsx	3.4.19.12
gene_11403	K11338	kofam+xlsx	5.6.2.3
gene_11404	K17644	kofam	1.1.1.349
gene_11405	K07240	kofam+xlsx	
gene_11406	K14563	kofam+xlsx	2.1.1.-
gene_11408	K03965	kofam+xlsx	
gene_11411	K16186;K17776	kofam+xlsx	
gene_11412	K01113	kofam+xlsx	3.1.3.1
gene_11413	K03111	kofam+xlsx	
gene_11414	K21293	kofam	
gene_11424	K14007	kofam+xlsx	
gene_11426	K01875;K11372	kofam+xlsx	6.1.1.11
gene_11427	K10887	kofam+xlsx	3.1.-.-
gene_11428	K00948	kofam+xlsx	2.7.6.1
gene_11435	K01735	kofam+xlsx	4.2.3.4
gene_11437	K25879	kofam+xlsx	1.1.1.10
gene_11438	K01738	xlsx	2.5.1.47
gene_1145	K16261	kofam+xlsx	
gene_11450	K24726	kofam+xlsx	
gene_11457	K28507	kofam	
gene_1146	K01555;K06978	kofam+xlsx	3.7.1.2
gene_11468	K06413;K27084	kofam+xlsx	
gene_1147	K16044	xlsx	1.1.1.371
gene_11471	K11121	kofam	2.3.1.286
gene_11472	K08853	xlsx	2.7.11.1
gene_11476	K00021	kofam+xlsx	1.1.1.34
gene_11486	K22134	kofam+xlsx	
gene_11490	K01199	kofam+xlsx	3.2.1.39
gene_11491	K11251	kofam+xlsx	
gene_11494	K17778	kofam+xlsx	
gene_11501	K12661	kofam+xlsx	4.2.1.90
gene_11503	K19305	kofam+xlsx	3.4.24.39
gene_11507	K10625	kofam+xlsx	2.3.2.27
gene_1151	K14553	kofam+xlsx	
gene_11513	K01490;K04354;K15278	kofam+xlsx	3.5.4.6
gene_11517	K03786	kofam+xlsx	4.2.1.10
gene_11520	K04709	kofam+xlsx	2.3.1.297
gene_11527	K11593	kofam+xlsx	
gene_11530	K08192	kofam	
gene_11535	K02958	kofam+xlsx	
gene_11542	K08095	kofam+xlsx	3.1.1.74
gene_11547	K01254	kofam+xlsx	3.3.2.6
gene_11548	K06674	kofam+xlsx	
gene_11553	K05989	xlsx	3.2.1.40
gene_11554	K00456	kofam+xlsx	1.13.11.20
gene_11557	K02989	kofam+xlsx	
gene_11564	K15303	kofam+xlsx	
gene_11565	K19069	kofam+xlsx	1.1.99.18
gene_11567	K08294	kofam+xlsx	2.7.12.2
gene_11569	K01907	kofam+xlsx	6.2.1.16
gene_11570	K04077;K05765;K14835	kofam+xlsx	2.1.1.310;5.6.1.7
gene_11571	K14301	kofam+xlsx	
gene_11575	K20205	kofam+xlsx	1.11.1.13
gene_1158	K01264	kofam+xlsx	3.4.11.15
gene_11580	K18586	kofam+xlsx	4.1.1.130
gene_11581	K01358	kofam+xlsx	3.4.21.92
gene_11582	K01444;K01845	kofam+xlsx	3.5.1.26;5.4.3.8
gene_11583	K23887	kofam+xlsx	
gene_11585	K00474	kofam+xlsx	1.14.11.8
gene_11586	K01530	xlsx	7.6.2.1
gene_11588	K18550	kofam+xlsx	3.1.3.-;3.1.3.99
gene_11589	K11362	kofam+xlsx	
gene_11594	K14536	kofam+xlsx	3.6.5.-
gene_11595	K03009	kofam+xlsx	
gene_1160	K20131	kofam+xlsx	
gene_11600	K15921	xlsx	3.2.1.55
gene_11605	K12765	kofam+xlsx	2.7.11.1
gene_11608	K20176	kofam+xlsx	
gene_11611	K08870	kofam+xlsx	
gene_11614	K00921	kofam+xlsx	2.7.1.150
gene_11615	K08738	kofam+xlsx	
gene_11617	K08900	kofam+xlsx	
gene_11621	K12858;K15114	kofam+xlsx	5.6.2.7
gene_11623	K00817	kofam+xlsx	2.6.1.9
gene_11626	K01886	kofam+xlsx	6.1.1.18
gene_11628	K11672	kofam+xlsx	
gene_11629	K00008	kofam+xlsx	1.1.1.14
gene_11633	K10773	kofam+xlsx	3.2.2.-;4.2.99.18
gene_11634	K15628	kofam+xlsx	7.6.2.4
gene_11635	K02213	kofam+xlsx	
gene_11636	K13217	kofam+xlsx	
gene_11641	K02730	kofam+xlsx	3.4.25.1
gene_11643	K01751	kofam	4.3.1.15
gene_11644	K10745	kofam+xlsx	
gene_11649	K23542	kofam+xlsx	
gene_1165	K15110	kofam+xlsx	
gene_11651	K00389;K27690	kofam+xlsx	
gene_11652	K00276	kofam+xlsx	1.4.3.21
gene_11653	K15202	kofam+xlsx	
gene_11655	K01230	kofam+xlsx	3.2.1.113
gene_11657	K01199	kofam+xlsx	3.2.1.39
gene_11658	K01266	xlsx	3.4.11.19
gene_11659	K14838	kofam+xlsx	
gene_1166	K19838	kofam+xlsx	
gene_11668	K00761	kofam+xlsx	2.4.2.9
gene_11669	K06659	kofam+xlsx	
gene_1167	K14521	kofam+xlsx	2.3.1.-
gene_11670	K10844	kofam+xlsx	5.6.2.3
gene_11672	K01151	kofam+xlsx	3.1.21.2
gene_11673	K03142	kofam+xlsx	
gene_11676	K14859	xlsx	
gene_1168	K00549	kofam+xlsx	2.1.1.14
gene_11684	K11274	kofam+xlsx	
gene_11686	K02325	kofam+xlsx	2.7.7.7
gene_11687	K08900	kofam+xlsx	
gene_11689	K26182	kofam	
gene_11692	K03681	kofam+xlsx	
gene_11694	K23314	kofam+xlsx	
gene_11698	K01218	kofam+xlsx	3.2.1.78
gene_11700	K01301	kofam+xlsx	3.4.17.21
gene_11702	K02503	kofam+xlsx	3.9.1.-
gene_11705	K05925	kofam	2.1.1.348
gene_11708	K05841	kofam+xlsx	2.4.1.173
gene_11711	K21989	kofam+xlsx	
gene_11716	K14686	kofam+xlsx	
gene_11718	K05917	kofam+xlsx	1.14.14.154;1.14.15.36
gene_11722	K12843	kofam+xlsx	
gene_11726	K01866	kofam+xlsx	6.1.1.1
gene_11727	K05355	kofam+xlsx	2.5.1.82;2.5.1.83
gene_11730	K26935	kofam	
gene_11732	K19564;K28029;K28030	kofam+xlsx	
gene_11733	K03448;K08192	kofam+xlsx	
gene_11735	K06943	kofam+xlsx	
gene_11736	K06671	kofam+xlsx	
gene_1174	K20827	kofam+xlsx	3.1.3.16
gene_11745	K17770	kofam+xlsx	
gene_11748	K17218;K22470	kofam+xlsx	1.8.5.4;1.8.5.8
gene_11753	K21547	kofam+xlsx	
gene_11754	K03448;K08192	kofam+xlsx	
gene_11755	K01176	kofam	3.2.1.1
gene_11759	K00606	kofam+xlsx	2.1.2.11
gene_11761	K01655	kofam+xlsx	2.3.3.14
gene_11763	K08192	kofam+xlsx	
gene_11764	K02515	kofam+xlsx	2.7.11.-
gene_1177	K03469;K15442	kofam+xlsx	3.1.26.4
gene_11771	K12846	kofam+xlsx	
gene_11772	K15071;K15710	kofam+xlsx	2.3.2.27;5.6.2.-
gene_11773	K03022	kofam+xlsx	
gene_11775	K01754	kofam+xlsx	4.3.1.19
gene_11776	K00030	kofam+xlsx	1.1.1.41
gene_11778	K22069	xlsx	
gene_11779	K02731	kofam+xlsx	3.4.25.1
gene_1178	K02608	kofam+xlsx	
gene_11783	K04095	kofam	2.7.7.108
gene_11784	K13754	kofam+xlsx	
gene_11785	K15542	kofam+xlsx	
gene_11786	K12189	kofam+xlsx	
gene_11790	K00121	kofam+xlsx	1.1.1.1;1.1.1.284
gene_11794	K23469	kofam+xlsx	
gene_11796	K01607	xlsx	4.1.1.44
gene_11800	K03333	kofam+xlsx	1.1.3.6
gene_11801	K12273	kofam+xlsx	
gene_11804	K05770	kofam+xlsx	
gene_11807	K19113	xlsx	2.3.1.-
gene_11809	K08737	kofam+xlsx	
gene_1181	K00276	kofam+xlsx	1.4.3.21
gene_11810	K01052	kofam+xlsx	3.1.1.13
gene_11812	K11592	kofam+xlsx	3.1.26.-
gene_11813	K17819	kofam+xlsx	1.2.1.82
gene_11814	K23329	kofam+xlsx	
gene_11815	K15447	kofam+xlsx	2.1.1.211
gene_11820	K15136	kofam+xlsx	
gene_11821	K12869	kofam+xlsx	
gene_11822	K05925	kofam	2.1.1.348
gene_11823	K01899;K01902	kofam+xlsx	6.2.1.4;6.2.1.5
gene_11825	K18159	kofam+xlsx	
gene_1183	K23566	kofam+xlsx	
gene_11831	K12349	kofam+xlsx	3.5.1.23
gene_11834	K11801	kofam+xlsx	
gene_11836	K01599	kofam+xlsx	4.1.1.37
gene_11837	K01568	kofam+xlsx	4.1.1.1
gene_11843	K06965	kofam+xlsx	
gene_11844	K00469	kofam+xlsx	1.13.99.1
gene_11846	K14012	xlsx	
gene_11848	K10981	kofam+xlsx	2.7.7.7
gene_11852	K23952	kofam+xlsx	
gene_11854	K18468	kofam+xlsx	
gene_11855	K01740	kofam+xlsx	2.5.1.49
gene_11859	K23362	kofam+xlsx	3.1.-.-
gene_1186	K20307	kofam+xlsx	
gene_11861	K01556	kofam+xlsx	3.7.1.3
gene_11866	K03249	kofam+xlsx	
gene_11869	K14407	kofam+xlsx	
gene_11871	K15732	kofam+xlsx	3.1.3.16
gene_11877	K12830	kofam+xlsx	
gene_11881	K09613	kofam+xlsx	3.4.-.-
gene_11886	K13107	kofam+xlsx	
gene_11888	K04797	kofam+xlsx	
gene_1189	K01228	kofam+xlsx	3.2.1.106
gene_11890	K10609	kofam+xlsx	
gene_11893	K00354	kofam+xlsx	1.6.99.1
gene_11897	K15441	kofam+xlsx	3.5.4.-
gene_1190	K01519;K18532	kofam+xlsx	2.7.4.3;3.6.1.66
gene_11906	K01908	kofam+xlsx	6.2.1.17
gene_11909	K08994	kofam+xlsx	
gene_11910	K06867	xlsx	
gene_11913	K03946	kofam+xlsx	
gene_11914	K09248	kofam+xlsx	
gene_11920	K06867	xlsx	
gene_11925	K00873	kofam+xlsx	2.7.1.40
gene_11926	K03966;K17435	kofam+xlsx	
gene_11934	K00463	kofam+xlsx	1.13.11.52
gene_11936	K25164	kofam+xlsx	
gene_11939	K12769	kofam+xlsx	
gene_1194	K09701	kofam+xlsx	
gene_11940	K13115	kofam+xlsx	
gene_11942	K23107	kofam+xlsx	1.1.-.-
gene_11944	K01301	kofam+xlsx	3.4.17.21
gene_11951	K00596	kofam+xlsx	4.1.1.64
gene_11954	K11359	kofam+xlsx	
gene_11955	K02078;K03955	kofam+xlsx	
gene_11958	K12404	kofam+xlsx	
gene_1196	K01866	kofam+xlsx	6.1.1.1
gene_11960	K01183	kofam+xlsx	3.2.1.14
gene_11968	K03259	kofam+xlsx	
gene_11969	K20301	kofam+xlsx	
gene_1197	K07208	kofam+xlsx	
gene_11971	K19984	kofam+xlsx	
gene_11973	K00654	kofam+xlsx	2.3.1.50
gene_11974	K18738	kofam+xlsx	
gene_11978	K00820	kofam+xlsx	2.6.1.16
gene_1198	K01869	kofam+xlsx	6.1.1.4
gene_11981	K19881	kofam+xlsx	
gene_11988	K06123	kofam+xlsx	1.1.1.101
gene_1199	K03105	kofam+xlsx	
gene_11990	K00948	kofam+xlsx	2.7.6.1
gene_11991	K18168	kofam+xlsx	
gene_11992	K14828	kofam+xlsx	
gene_11994	K27960	kofam	
gene_11999	K11419;K19357	kofam+xlsx	2.1.1.355;3.2.1.4
gene_12003	K01764	kofam+xlsx	4.4.1.17
gene_12004	K17644	kofam+xlsx	1.1.1.349
gene_12009	K12182	kofam+xlsx	
gene_12013	K14298	kofam+xlsx	
gene_12016	K08254	kofam+xlsx	3.2.1.59
gene_12018	K08657	kofam+xlsx	3.4.25.-
gene_12019	K11414	kofam+xlsx	2.3.1.286;2.3.1.313
gene_1202	K20195	kofam+xlsx	
gene_12021	K17969	kofam+xlsx	
gene_12024	K11254	kofam+xlsx	
gene_12026	K28564	kofam	
gene_1203	K07001;K14676	kofam+xlsx	3.1.1.5
gene_12033	K00274	kofam+xlsx	1.4.3.4
gene_12037	K12190	kofam+xlsx	
gene_12040	K18549	kofam+xlsx	3.4.21.63
gene_12041	K07407	kofam+xlsx	3.2.1.22
gene_12042	K06867	kofam+xlsx	
gene_12043	K22278	kofam+xlsx	3.5.1.104
gene_12045	K20182	kofam+xlsx	
gene_12055	K01728	kofam+xlsx	4.2.2.2
gene_12060	K00958	kofam+xlsx	2.7.7.4
gene_12061	K17496	kofam+xlsx	
gene_12063	K00667	kofam+xlsx	2.3.1.86
gene_12064	K20643	kofam+xlsx	
gene_12067	K20705	kofam+xlsx	
gene_12068	K03242	kofam+xlsx	
gene_12070	K22073	kofam+xlsx	2.1.-.-
gene_12074	K23785	kofam+xlsx	2.7.11.1
gene_12077	K22856	kofam+xlsx	2.1.1.-
gene_12079	K24195	kofam+xlsx	
gene_1208	K16261	kofam+xlsx	
gene_12084	K17275	kofam+xlsx	
gene_12086	K00826	kofam+xlsx	2.6.1.42
gene_12087	K18123	kofam+xlsx	4.1.3.16
gene_1209	K05658	kofam+xlsx	7.6.2.2
gene_12092	K07034	kofam+xlsx	
gene_12094	K19366	kofam+xlsx	
gene_121	K11339	kofam+xlsx	
gene_12104	K17774	kofam+xlsx	
gene_12109	K14642	kofam+xlsx	3.6.1.5
gene_12112	K11352	kofam+xlsx	
gene_12116	K08100	kofam+xlsx	1.3.3.5
gene_12117	K02350	kofam+xlsx	2.7.7.7
gene_12120	K10752	kofam+xlsx	
gene_12124	K02431	kofam+xlsx	5.1.3.29
gene_12131	K02999	kofam+xlsx	2.7.7.6
gene_12137	K02910	kofam+xlsx	
gene_12138	K20048	kofam+xlsx	
gene_12140	K11551	kofam+xlsx	
gene_12145	K00586	kofam+xlsx	2.1.1.314
gene_12148	K05349	kofam+xlsx	3.2.1.21
gene_12153	K09484	kofam+xlsx	1.1.1.24
gene_12154	K14015	kofam+xlsx	
gene_12155	K05797	kofam+xlsx	1.17.9.1
gene_12157	K09667	kofam+xlsx	2.4.1.255
gene_12158	K03676	kofam+xlsx	
gene_1216	K22118	kofam+xlsx	6.3.2.-
gene_12161	K03347	kofam+xlsx	
gene_12164	K01824	kofam+xlsx	5.3.3.5
gene_12165	K02136	kofam+xlsx	
gene_12167	K28261	kofam	
gene_12169	K10863	kofam+xlsx	3.6.1.70;3.6.1.71;3.6.1.72
gene_1217	K02893	kofam+xlsx	
gene_12170	K08675	kofam+xlsx	3.4.21.53
gene_12176	K09958	kofam+xlsx	
gene_1218	K02304;K24866	kofam+xlsx	1.3.1.76;4.99.1.4
gene_12182	K01183	kofam+xlsx	3.2.1.14
gene_12185	K00326	kofam+xlsx	1.6.2.2
gene_12188	K14439	kofam+xlsx	5.6.2.-
gene_12189	K09518	xlsx	
gene_12198	K22377	xlsx	2.3.2.27
gene_12199	K02905;K13354	kofam+xlsx	
gene_122	K20028	kofam+xlsx	2.3.1.225
gene_12204	K16261	kofam+xlsx	
gene_12206	K11971	kofam+xlsx	2.3.2.31
gene_12213	K23404	kofam+xlsx	
gene_12214	K09885	kofam+xlsx	
gene_12215	K01855	kofam+xlsx	5.4.99.45
gene_12216	K09250	kofam+xlsx	
gene_12218	K16261	kofam+xlsx	
gene_12220	K22213	kofam+xlsx	4.1.1.52
gene_12222	K12663	kofam	5.3.3.21
gene_12234	K00624	kofam+xlsx	2.3.1.7
gene_1224	K17508	kofam+xlsx	3.1.3.16
gene_12242	K07160	kofam+xlsx	3.5.2.9
gene_12244	K07542	kofam+xlsx	2.4.1.-
gene_12248	K22278	kofam+xlsx	3.5.1.104
gene_12249	K09495	kofam+xlsx	
gene_1225	K13421	kofam+xlsx	2.4.2.10;4.1.1.23
gene_12250	K15425	xlsx	
gene_12252	K08336	kofam+xlsx	
gene_12259	K09529	kofam+xlsx	
gene_1226	K11872	kofam+xlsx	3.4.19.12
gene_12260	K26753	kofam	
gene_12266	K01230	xlsx	3.2.1.113
gene_12267	K17756	kofam+xlsx	1.1.3.20
gene_12271	K03448	kofam+xlsx	
gene_12278	K17741	xlsx	1.1.1.283
gene_1228	K00276	kofam+xlsx	1.4.3.21
gene_12289	K10743	kofam+xlsx	3.1.26.4
gene_1229	K20069	kofam	
gene_12293	K14189	kofam+xlsx	1.-.-.-
gene_12297	K00574	kofam+xlsx	2.1.1.79
gene_12299	K00688	kofam+xlsx	2.4.1.1
gene_12304	K19730	kofam+xlsx	
gene_12305	K15111	kofam+xlsx	
gene_12306	K03253	kofam+xlsx	
gene_12309	K15083	kofam+xlsx	
gene_12310	K01180	kofam+xlsx	3.2.1.6
gene_12313	K00940	kofam+xlsx	2.7.4.6
gene_12315	K24194	kofam+xlsx	
gene_12316	K11553	kofam+xlsx	
gene_12319	K00765	kofam+xlsx	2.4.2.17
gene_12324	K03469	kofam+xlsx	3.1.26.4
gene_12325	K15633	kofam+xlsx	5.4.2.12
gene_12329	K15918	kofam+xlsx	2.7.1.31
gene_12335	K08192	kofam	
gene_12344	K03593	kofam+xlsx	
gene_12349	K06998	kofam+xlsx	5.3.3.17
gene_1235	K03932	kofam	
gene_12351	K01870	kofam+xlsx	6.1.1.5
gene_12355	K08158	kofam+xlsx	
gene_12356	K11233	kofam+xlsx	
gene_12373	K06867	xlsx	
gene_12374	K18579	kofam+xlsx	3.2.1.164
gene_12375	K07300	kofam+xlsx	
gene_12378	K13726	kofam+xlsx	3.4.24.-
gene_12379	K15631	kofam+xlsx	2.8.1.9
gene_1238	K01796	kofam+xlsx	5.1.99.4
gene_12380	K15152	kofam+xlsx	
gene_12382	K08736	kofam+xlsx	
gene_12383	K14787	kofam+xlsx	
gene_12385	K03781	kofam+xlsx	1.11.1.6
gene_1239	K10356	kofam+xlsx	
gene_12394	K24887	kofam+xlsx	
gene_12395	K11427	kofam+xlsx	2.1.1.360
gene_12396	K13356	xlsx	1.2.1.84
gene_12397	K00213	kofam+xlsx	1.3.1.21
gene_12399	K03113;K24272	kofam+xlsx	
gene_1240	K02830	kofam+xlsx	3.1.11.2
gene_12400	K03115	kofam+xlsx	
gene_12406	K06867	xlsx	
gene_12409	K01807	kofam+xlsx	5.3.1.6
gene_12412	K21421	xlsx	1.-.-.-
gene_12416	K01235;K19589	kofam+xlsx	2.1.1.297;3.2.1.139
gene_12417	K14779	kofam+xlsx	5.6.2.7
gene_12418	K12603	kofam+xlsx	3.1.13.4
gene_1242	K03004	kofam+xlsx	
gene_12422	K03134	kofam+xlsx	
gene_12423	K17780	kofam	
gene_12429	K15118;K20295	kofam+xlsx	
gene_1243	K05349	kofam+xlsx	3.2.1.21
gene_12431	K01183	kofam+xlsx	3.2.1.14
gene_12437	K08337	kofam+xlsx	
gene_12438	K12584	kofam+xlsx	3.6.1.59
gene_12444	K26091	kofam	
gene_12450	K08192	kofam	
gene_12451	K01958	kofam+xlsx	6.4.1.1
gene_12454	K18477	kofam+xlsx	2.1.1.322
gene_12456	K19770	kofam+xlsx	3.1.-.-
gene_12457	K08343;K13127	kofam+xlsx	
gene_12458	K06269	kofam+xlsx	3.1.3.16
gene_12459	K19356	kofam+xlsx	1.14.99.54
gene_12465	K02155	kofam+xlsx	
gene_12466	K05302	kofam+xlsx	2.1.1.-
gene_1247	K23114	kofam+xlsx	3.1.3.-
gene_12473	K07127	kofam+xlsx	3.5.2.17
gene_12475	K07300	kofam+xlsx	
gene_12477	K00217;K24750	kofam+xlsx	1.3.1.32
gene_12484	K00309	kofam+xlsx	1.5.3.10
gene_12485	K27966	kofam	
gene_12486	K07199	kofam+xlsx	
gene_1249	K27906	kofam	
gene_12493	K01647	kofam+xlsx	2.3.3.1
gene_12494	K01732	kofam+xlsx	4.2.2.10
gene_12495	K15084	kofam+xlsx	
gene_12496	K12823	kofam+xlsx	5.6.2.7
gene_12497	K03372	kofam+xlsx	2.3.1.-
gene_12498	K24137	kofam+xlsx	1.11.1.25;1.11.1.27
gene_12499	K01045	kofam+xlsx	3.1.1.2;3.1.8.1
gene_12500	K23518	kofam+xlsx	3.1.1.106
gene_12503	K02858	kofam+xlsx	4.1.99.12
